departamento,anio,sexo,Fuerza de trabajo,Fuerza de trabajo potencial,Poblacion desocupada,Poblacion en edad de trabajar (PET),Poblacion fuera de la fuerza de trabajo,Poblacion ocupada,Poblacion subocupada,Poblacion total,Porcentaje poblacion en edad de trabajar,Tasa Global de Participacion (TGP),Tasa de Desocupacion (TD),Tasa de Ocupacion (TO),Tasa de Subocupacion (TS)
Atlantico,2021,mujeres,522.573,72.768,99.373,1085.567,562.994,423.2,66.141,1420.323,76.430989054,48.138274959,19.016086411,38.984258996,12.656825361
Atlantico,2021,total,1285.133,94.403,182.832,2087.774,802.641,1102.301,168.419,2770.146,75.366915774,61.555169532,14.226699263,52.797900682,13.105153065
Atlantico,2022,hombres,791.365,28.152,57.373,1018.712,227.348,733.992,120.007,1366.795,74.532929558,77.682836024,7.249851647,72.050945657,15.164505448
Atlantico,2022,mujeres,598.934,102.656,91.063,1102.232,503.298,507.871,84.737,1437.07,76.699946187,54.33826331,15.204118437,46.0766094,14.147986418
Atlantico,2022,total,1390.298,130.809,148.435,2120.944,730.646,1241.863,204.744,2803.865,75.643594478,65.550913125,10.676510534,58.55236298,14.726594066
Atlantico,2023,hombres,795.318,37.806,47.93,1034.657,239.339,747.388,89.833,1382.6,74.834148575,76.867763634,6.026524097,72.235309336,11.295211586
Atlantico,2023,mujeres,607.086,122.568,79.975,1118.14,511.054,527.11,73.163,1452.579,76.97617479,54.29426264,13.173650167,47.141726419,12.051521993
Atlantico,2023,total,1402.404,160.374,127.905,2152.797,750.393,1274.498,162.996,2835.179,75.931596686,65.143328512,9.12043957,59.201970601,11.622610382
Atlantico,2024,hombres,795.011,36.366,52.1,1053.456,258.446,742.911,72.182,1397.754,75.367763996,75.4668799,6.553375706,70.521251726,9.079357172
Atlantico,2024,mujeres,582.904,108.397,78.156,1136.107,553.203,504.748,59.615,1467.478,77.418987007,51.307164011,13.407988453,44.427905385,10.227307734
Atlantico,2024,total,1377.915,144.763,130.256,2189.563,811.648,1247.659,131.797,2865.232,76.418333125,62.931038122,9.453106745,56.982099913,9.564978753
Atlantico,2025,hombres,815.611,29.111,51.605,1069.926,254.316,764.006,68.307,1412.3,75.757696987,76.230551092,6.327120709,71.407352107,8.374902016
Atlantico,2025,mujeres,593.725,81.375,68.263,1152.383,558.658,525.462,52.382,1481.788,77.769769433,51.52152162,11.49741998,45.597875899,8.822621268
Atlantico,2025,total,1409.336,110.486,119.868,2222.309,812.973,1289.468,120.689,2894.088,76.787888206,63.417634325,8.505264983,58.023796479,8.563517235
Atlantico,2026,hombres,836.211,21.856,51.10999999999999,1086.396,250.18599999999998,785.101,64.432,1426.846,76.14762997800001,76.994222284,6.100865712,72.29345248799999,7.67044686
Atlantico,2026,mujeres,604.546,54.352999999999994,58.370000000000005,1168.659,564.113,546.1759999999999,45.148999999999994,1496.098,78.12055185899999,51.735879229000005,9.586851507,46.767846413,7.417934802000001
Atlantico,2026,total,1440.757,76.209,109.47999999999999,2255.0550000000003,814.2979999999999,1331.277,109.58099999999999,2922.9440000000004,77.157443287,63.90423052800001,7.5574232210000005,59.065493045,7.562055717000002
Bolivar,2007,hombres,476.481168,0.0,38.796824,616.473,139.991832,437.684344,41.762855,912.191,67.581570088,77.291490141,8.142362579,70.998136771,8.764849078
Bolivar,2007,mujeres,294.26047600000004,0.0,51.903166,646.738,352.47752399999996,242.35730999999998,23.987958,933.138,69.307862288,45.499178378,17.638510934,37.473800825,8.15194705
Bolivar,2007,total,770.741644,0.0,90.699991,1263.211,492.469356,680.041654,65.750813,1845.329,68.454514073,61.014481688,11.767885033,53.834367629,8.530849989
Bolivar,2008,hombres,468.074428,0.0,32.935449999999996,626.019,157.944572,435.138978,31.893664,921.256,67.952773171,74.770003501,7.036370302,69.50890918,6.813801841
Bolivar,2008,mujeres,238.495637,0.0,40.606679,656.733,418.237363,197.888959,16.084621,941.572,69.748569414,36.315464192,17.026172446,30.132330635,6.744199278
Bolivar,2008,total,706.570066,0.0,73.542129,1282.752,576.181934,633.0279370000001,47.97828500000001,1862.828,68.860463768,55.082359308,10.408327799,49.349206792,6.790308194
Bolivar,2009,hombres,494.627895,0.0,33.672016000000006,638.104,143.47610500000002,460.95587900000004,50.149962,934.537,68.280228605,77.515247506,6.807544925,72.238362208,10.138927217
Bolivar,2009,mujeres,254.437838,0.0,43.478173999999996,668.161,413.723162,210.959665,28.288411,952.908,70.118101643,38.080318688,17.087935468,31.573178404,11.118004733
Bolivar,2009,total,749.065733,0.0,77.15019000000001,1306.265,557.199267,671.915543,78.43837300000001,1887.445,69.208109375,57.344086621,10.29952197,51.437919821,10.471493981
Bolivar,2010,hombres,504.622641,0.0,25.349091,648.423,143.800359,479.273549,51.964016,945.045,68.612923194,77.823063114,5.023375726,73.913718252,10.297598958
Bolivar,2010,mujeres,281.425582,0.0,39.398540000000004,678.414,396.988418,242.027041,27.430722000000003,962.241,70.503543291,41.482867654,13.999630056,35.675419646,9.747060486
Bolivar,2010,total,786.0482219999999,0.0,64.747632,1326.837,540.7887780000001,721.300591,79.39473699999999,1907.286,69.566756113,59.242259773,8.237106799,54.362411565,10.100491955
Bolivar,2011,hombres,523.902978,0.0,25.436827,658.394,134.491022,498.466151,43.076735,954.99,68.942502016,79.572866352,4.855255317,75.709400527,8.222273406
Bolivar,2011,mujeres,322.153152,0.0,41.919202,688.182,366.028848,280.23395,25.783866000000003,970.951,70.877109144,46.812202635,13.012196816,40.720906694,8.003605034
Bolivar,2011,total,846.05613,0.0,67.35602899999999,1346.576,500.51986999999997,778.700101,68.86060099999999,1925.941,69.917821989,62.8301804,7.9611774,57.828158278,8.139010957
Bolivar,2012,hombres,541.8865139999999,0.0,26.310275,668.214,126.32748600000001,515.576239,51.417076,964.425,69.286258652,81.09475617,4.855310942,77.157353601,9.488532113
Bolivar,2012,mujeres,352.446342,0.0,41.380676,697.73,345.283658,311.065666,24.732894,979.225,71.253287038,50.513284755,11.740986082,44.582527022,7.017492027
Bolivar,2012,total,894.332856,0.0,67.690951,1365.944,471.61114399999997,826.6419050000001,76.14997,1943.65,70.277261853,65.47361061,7.5688767,60.517993752,8.514723499
Bolivar,2013,hombres,544.199741,0.0,23.617262,678.045,133.845259,520.582479,51.792227,973.497,69.650445764,80.260121557,4.339814968,76.776980788,9.517135461
Bolivar,2013,mujeres,349.793881,0.0,40.015498,707.182,357.388119,309.77838299999996,27.441687,987.175,71.636943804,49.463063341,11.43973644,43.80461926,7.845102077
Bolivar,2013,total,893.993622,0.0,63.632760000000005,1385.227,491.233378,830.360862,79.233914,1960.672,70.650623868,64.537698284,7.117809154,59.944028088,8.862917095
Bolivar,2014,hombres,546.467517,0.0,21.482253,687.801,141.333483,524.9852639999999,66.167089,982.212,70.025717462,79.45139908,3.931112579,76.328075137,12.108146766
Bolivar,2014,mujeres,362.686818,0.0,35.347451,716.461,353.774182,327.33936700000004,30.054705000000002,994.737,72.025168462,50.621990316,9.74599824,45.688372031,8.286682381
Bolivar,2014,total,909.154335,0.0,56.829704,1404.262,495.107665,852.3246310000001,96.22179399999999,1976.949,71.031776743,64.742500718,6.25083135,60.695556186,10.583658894
Bolivar,2015,hombres,552.412089,0.0,24.55636,697.619,145.206911,527.855728,66.152714,990.753,70.413009095,79.185356002,4.445297438,75.6653314,11.975247268
Bolivar,2015,mujeres,377.501815,0.0,39.689505,725.901,348.399185,337.81231,26.671039,1002.44,72.413411276,52.00458673,10.513725584,46.53696719,7.065141908
Bolivar,2015,total,929.913904,0.0,64.245865,1423.52,493.60609600000004,865.6680379999999,92.823753,1993.193,71.419074821,65.324962333,6.908797156,60.811793193,9.981972753
Bolivar,2016,hombres,559.557729,0.0,24.038129,708.123,148.565271,535.5196,52.918642,1000.188,70.79898979,79.019849555,4.295915882,75.625223288,9.457226585
Bolivar,2016,mujeres,370.593103,0.0,37.406406000000004,736.711,366.11789699999997,333.186697,20.874243,1012.125,72.788538965,50.30372872,10.093659429,45.226241664,5.632658371
Bolivar,2016,total,930.150832,0.0,61.444535,1444.834,514.683168,868.7062970000001,73.792886,2012.313,71.79966536,64.377695442,6.605867877,60.124989938,7.933432215
Bolivar,2017,hombres,554.462032,0.0,21.700623,719.653,165.190968,532.7614080000001,41.101885,1011.361,71.156886611,77.045747284,3.913815956,74.030318533,7.412930413
Bolivar,2017,mujeres,384.47413900000004,0.0,35.299575,748.331,363.856861,349.17456500000003,21.802004,1023.426,73.120186511,51.377550769,9.181261149,46.660443661,5.670603496
Bolivar,2017,total,938.936171,0.0,57.000198,1467.984,529.047829,881.935973,62.903889,2034.787,72.144357124,63.960926764,6.070721313,60.078037151,6.699485066
Bolivar,2018,hombres,574.754082,0.0,18.601509999999998,734.08,159.325918,556.1525720000001,71.593016,1026.491,71.513534946,78.295837199,3.236429385,75.761847717,12.45628672
Bolivar,2018,mujeres,396.50582199999997,0.0,35.17021,764.799,368.293178,361.335612,34.924428,1041.778,73.412857634,51.84444828,8.870036271,47.245826913,8.808049285
Bolivar,2018,total,971.259904,0.0,53.77172,1498.879,527.619096,917.4881829999999,106.51744500000001,2068.269,72.470215431,64.799086765,5.536285398,61.211624387,10.966935232
Bolivar,2019,hombres,588.989008,0.0,18.098532,758.222,169.232992,570.890476,66.487552,1055.755,71.817988075,77.680284655,3.072813227,75.293314593,11.288419791
Bolivar,2019,mujeres,406.034996,0.0,28.764679,790.099,384.064004,377.270317,31.259149,1072.543,73.665950922,51.39039489,7.08428573,47.749752479,7.698634222
